run_id,model,context_len,bandwidth_mbps,repeat,state_bytes,t_transfer_ms,transfer_mbps,ok,output_dir
boundary_20260526_082514,8B,128,100,2,1441792,189.90230560302734,60.738262041491105,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,256,100,1,2883584,302.81877517700195,76.17979428955826,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,256,100,2,2883584,304.0182590484619,75.87923196521807,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,512,100,1,5767168,554.2094707489014,83.248927409441,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,512,100,2,5767168,572.5159645080566,80.5869999444369,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,1024,100,1,11534336,1027.2929668426514,89.82314780524877,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,1024,100,2,11534336,1032.0711135864258,89.40729644040454,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,2048,100,1,23068672,2007.6723098754883,91.92206073283212,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,2048,100,2,23068672,1994.1184520721436,92.54684735915745,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,4096,100,1,46137344,3927.429676055908,93.97972273068544,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,4096,100,2,46137344,3927.9353618621826,93.9676236996464,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,8192,100,1,92274688,7772.028923034668,94.98131199848433,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,8192,100,2,92274688,7793.573379516602,94.7187468511122,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,16384,100,1,184549376,15500.96082687378,95.24538668857201,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,16384,100,2,184549376,15493.348121643066,95.29218580828149,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
